Image,Ratings,Price,Description
"[[[254 254 254]
  [255 255 255]
  [229 231 231]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [252 252 252]
  [ 96  98  97]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [140 140 140]
  [ 13  16  15]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$434
99","Is long-lasting with reduced screen burning to ensure maximum efficiency
USB Type-C allows quick transmission of data at a higher rate for your convenience
23.8"" viewable screen size provides a spectacular viewing experience
4 ms Extreme Mode response time diminishes ghosting, blurring, and streaking in fast-moving games and movies
Enjoy crisp content and energetic hues with the 300 Nit brightness
Experience a new level of viewing pleasure with Wide Quad High Definition (WQHD) that features 4 times the resolution of standard HD
WLED backlight technology provides a clear and smooth display"
"[[[203 202 198]
  [137 137 137]
  [143 141 140]
  ...
  [ 97  97  98]
  [ 92  92  92]
  [183 183 183]]

 [[100  97  98]
  [ 40  40  41]
  [ 74  74  76]
  ...
  [  0   1   3]
  [  0   0   0]
  [ 80  80  80]]

 [[ 98  95  99]
  [ 77  78  84]
  [ 89 104 116]
  ...
  [ 11  12  15]
  [  8   8   9]
  [ 86  86  85]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",3.5,"$316
20","28"" UltraHD (3840 x 2160) Widescreen IPS Display with Adaptive-Sync Support | EPEAT Bronze Certified | TUV/Eyesafe Certification
Brightness: 300nits | Response Time: 4ms (G to G)
DCI-P3 90% | Colors: 1.07 billion | HDR10 Support
2 speakers, 2 watts per speaker
Video Ports: 1 x Display Port 1.2, 1 x Mini Display Port, 2 x HDMI 2.0 & 1 x Audio-Out | HDMI and USB Cables Included"
"[[[169 164 166]
  [ 86  85  82]
  [ 88  89  81]
  ...
  [ 78  79  80]
  [ 80  80  76]
  [163 163 160]]

 [[ 89  86  82]
  [ 30  21  31]
  [ 72  46  85]
  ...
  [ 93  88 128]
  [ 33  31  44]
  [ 84  84  83]]

 [[ 92  90  89]
  [ 65  45  81]
  [183 127 222]
  ...
  [184 172 249]
  [ 76  71 102]
  [ 83  83  82]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",3,"$718
13","14ms response time - Eliminate screen tearing and choppy frame rates
VESA Certified DisplayHDR 600
178° wide view angle
4K Resolution for finest picturing experience"
"[[[252 251 252]
  [188 190 193]
  [170 174 178]
  ...
  [182 186 188]
  [198 202 205]
  [249 251 251]]

 [[170 170 173]
  [ 86  87  92]
  [108 112 118]
  ...
  [ 35  40  43]
  [ 27  32  35]
  [158 161 163]]

 [[121 121 125]
  [133 134 139]
  [139 143 149]
  ...
  [ 12  16  19]
  [  5   9  13]
  [113 117 119]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.2,"$399
99","31. 5"" UltraHD 4K2K (3840 x 2160) Widescreen VA Display with AMD Free Sync Technology
HDR Ready, sRGB & 6-Axis Color Adjustment
Refresh Rate: 60Hz
Response Time: 4ms
Ports: 1 x Display Port (1. 2) & 2 x HDMI 2. 0
60 hertz"
"[[[253 253 253]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[255 255 255]
  [239 239 239]
  [188 188 188]
  ...
  [227 227 227]
  [254 254 254]
  [254 254 254]]

 [[249 249 249]
  [128 128 128]
  [106 106 106]
  ...
  [113 113 113]
  [185 185 185]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$150
99","LED backlight technology provides for industry-leading low power consumption and less hazardous materials
Height-adjust, tilt and swivel capabilities add flexibility and comfort to your viewing preferences
Full connectivity, including DisplayPort, HDMI and VGA inputs
Integrated speakers and headphone jack bring additional usability
ECO Mode allows you to manually adjust the display’s brightness to your liking, saving power and reducing your energy costs"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [252 252 252]
  [255 255 255]
  [255 255 255]]

 [[242 242 243]
  [243 243 244]
  [217 217 218]
  ...
  [125 125 127]
  [185 185 186]
  [230 230 230]]

 [[216 216 217]
  [100 100 102]
  [ 69  69  71]
  ...
  [ 45  45  47]
  [ 53  53  55]
  [185 185 186]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.1,"$1,133
80","27"" UHD 4K (3840 x 2160) Widescreen IPS Display with NVIDIA G-SYNC Technology
Refresh Rate: 120Hz (OverClocking to 144Hz)
High Brightness and Contrast with VESA Certified DisplayHDR 400
DCI-P3 90% Wide Color Gamut | Optimize Colors with Quantum Dot Technology | No Color Difference with Delta E<1
Ports: 1 x Display Port v1. 4, 1 x HDMI v2. 0 & 4 x USB 3. 0 Ports (Display Port & USB Cable Included)"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [244 244 244]
  [242 242 242]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.3,"$450
80","Up to 180Hz Refresh Rate: With 144Hz (can overclock to 180Hz) and Adaptive Sync, you have more frames displayed on screen every second compared to a 75Hz, 100Hz or 120Hz screen, eliminating lag and motion blur for exhilarating gameplay with ultra-smooth action
WQHD Image Quality: With a screen resolution of 3440x1440 pixels—approximately 2.4 times the density of Full HD delivers razor-sharp images. And with more pixels to display content, you can view more of your gaming screen, movies, web pages and documents at once without scrolling or zooming out
Smooth and Lively Visuals: Over 99% in sRGB consistent color gamut coverage and 16.7 million display colors improve experience of watching and gaming
Immersive Viewing Experience: The 1800R curvature and 21:9 aspect ratio of the screen let you enjoy big, bold and stunning panoramic views while you work or play at home or the office
Picture-in-picture (PIP) and Picture-by-Picture (PBP): Allows easy content viewing from multiple sources simultaneously
Compatible with most inputs: HDMI x2 and Display ports x 2 inputs allow for easy connection to most devices. 3.5mm audio-out port built-in for easy connection to your speakers or headphones
ComfortView feature: Minimize distractions with blue light shift, allowing you to comfortably work or play
What you get: 1 x 35” monitor, 1 x DP cable, 1 x power cable, 1 x user manual, without speaker"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",2.5,"$279
00","Best for video conferencing and online learning with integrated Full HD webcam, mic array and stereo speakers
23.8-inch Full HD (1920 x 1080) frameless IPS panel with wide viewing angles
ASUS AI Noise-Canceling Microphone offers crystal-clear voice communication
Face Auto Exposure technology helps users’ face to stand out from the background and keep the image crisp
Extensive connectivity with HDMI, USB-C, DisplayPort, DisplayPort out for daisy-chain, earphone jack, USB hub and RJ45 LAN port for the most flexibility
USB-C port allows simple laptop docking for data transmission and video signal to the display, as well as charging the laptop via just one cable
Zoom Certified monitor has undergone comprehensive testing and review processes to ensure seamless communication"
"[[[255 255 255]
  [212 212 212]
  [ 78  78  78]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[221 221 221]
  [ 63  63  63]
  [  9   9   9]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[114 114 114]
  [ 24  24  24]
  [ 19  19  19]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",3.2,"$119
99","1ms response time - Eliminate screen tearing and choppy frame rates
Built-in 2W speakers
TÜV certification display protect eyesight
Less blue light and anti-flicker technology"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.3,"$96
26","Nearly 20% more clarity than standard 3M Black Privacy Filters
Effective ""black out"" privacy from side views outside the 60-degree viewing angle
Compatible with curved displays
Provides excellent privacy while maintaining the glossy clarity of your screen
Helps protect your eyes from potentially harmful blue light, without distorting the natural color of your display"
