Image,Ratings,Price,Description
images/81ZzyCb0olL._AC_UX695_.jpg,4.5,,"100% Leather
Imported
Rubber sole
Shaft measures approximately ankle-high from arch
ADVANCED FOOTBED - Insite engineered footbed was created from 120,000 3D Foot scans, this delivers unmatched fit, form and comfort. Ax Suede top cover material provides 30% more grip, this reduces foot slip and fatigue. Two different layers of foam provide unique compression and rebound abilities that help prevent fatigue and keep you comfortable during prolonged use
STORM DEFENDER - Waterproof and breathable, these boots are designed with a waterproof membrane that keeps your feet dry. In addition to keeping your feet protected from outside moisture, the breathable membrane allows your feet to stay cool and dry by promoting airflow and circulation
ELECTRICAL PROTECTION - Protection on the job is important, these boots offer secondary protection against incidental contact with electrical circuits of 18,000 volts or less under dry conditions. Meets ASTM 2413-11 EH"
images/71fs9oWAkOL._AC_UX575_.jpg,4.5,,"Rubber sole
Smooth manmade uppers
Adjustable hook and loop closure straps
Fabric linings
Luxe Foam cushioned footbed for added comfort
Relaxed Fit design for a roomy comfortable fit"
images/71CL7Xf-TPL._AC_UX575_.jpg,4.1,"$40
99","100% Synthetic/Leather
Imported
Synthetic sole
Memory foam"
images/71ExF2I5hGL._AC_UX695_.jpg,4.5,,"Made in USA or Imported
Rubber sole
Heel measures approximately 1 centimeters
The evolution of our classic casual lifestyle franchise
Amazingly lightweight leather, suede or nubuck cupsole slipon sneaker for every occasion
Luxuriously comfortable molded footbed with a textile cover softly pads each step with improved breatheability"
images/71tygUz67GL._AC_UX575_.jpg,4.5,,"50% Mesh/50% Leather
Imported
Rubber sole
Relax fit
Memory foam"
images/719jGeWpILL._AC_UX695_.jpg,4.4,,Rubber sole
images/519VHmXc4rL._AC_UY695_.jpg,4.3,,"Imported
Rubber sole
SIZING: Available in size Small (Mens US 6.5 -7.5), Medium (Mens US 8-9), Large (Mens US 9.5-10.5), X-Large (Mens US 11-12), XX-Large (Mens US 12.5-13.5), XXX-Large (Mens US 14-15)
COMFORT: Thick memory foam cushioning provides support while contouring to your foot, providing you with ultimate comfort
EASY EVERYDAY WEAR: Slip into comfort with the hassle free construction of these clog slippers and slide on or off with ease.
INDOOR / OUTDOOR: Made with a durable, textured sole to help prevent you from slipping or sliding whether you are wearing these shoes inside or outside.
COLOR OPTIONS: This everyday Hanes slip on clog house slipper, made with a plush microsuede exterior and soft fleece interior, is offered in black, grey, tan and brown
MACHINE WASHABLE: Do your slippers get dirty quickly? No problem. Simply throw your Hanes slippers in the washer to clean, and they will look as good as new. Choose slippers that are always fresh with less hassle."
images/81V2zbSTUVL._AC_UX695_.jpg,4.6,,"fabric
Made in USA or Imported
Rubber sole
Heel measures approximately 1 centimeters
Lace up sneaker with knit upper for comfort and breathability
Lined in fabricpadded sock lining for ultimate comfort
Lightweight compression molded outsole with flex notches provides cushioning, comfort and flexibility"
images/81ha5gEVJkL._AC_UX695_.jpg,4.6,,"84% Polyester, 16% Elastane
Synthetic sole
Shaft measures approximately low-top from arch
4E Sizing built to better fit athletes with extra wide feet
NEUTRAL: For runners who need a balance of flexibility & cushioning
Lightweight mesh upper with 3-color digital print delivers complete breathability
Durable leather overlays for stability & that locks in your midfoot
EVA sockliner provides soft, step-in comfort"
images/716WaMf8CZL._AC_UX695_.jpg,4.3,,"100% Microfiber and Mesh
Rubber sole
Full-foot flex grooves for improved mobility and flex with every step
Low-cut design for a sleek, athletic look and easy ankle mobility
MemoryTech Massage footbed adapts to the contours of your foot and provides immediate cushioning
Sublite foam midsole for lightweight cushioning and soft support
Composite toe reduces weight while maintaining impact protection (meets or exceeds ASTM F2413)"
