Image,Ratings,Price,Description
"[[[255 255 255]
  [252 252 252]
  [236 236 236]
  ...
  [248 248 248]
  [254 254 254]
  [255 255 255]]

 [[232 232 232]
  [106 106 106]
  [ 63  63  63]
  ...
  [ 93  93  93]
  [108 108 108]
  [230 230 230]]

 [[181 181 181]
  [ 28  28  28]
  [ 40  40  40]
  ...
  [ 44  44  44]
  [ 30  30  30]
  [185 185 185]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$259
99","LED backlight technology uses less power than other backlight types
4-way ergonomic design (110mm height-adjust, pivot, tilt & swivel) fits any workspace
4-way ergonomic design (110mm height-adjust, pivot, tilt & swivel) fits any workspace
Carbon footprint meter helps track and calculate the reduction of green gas emissions
Dynamic Visual Mode enhances video and images with real-time optimization of brightness, color and contrast
Mounting type: VESA Hole Configuration Specifications 100 x 100mm
56 hertz"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$221
95","FHD PORTABLE MONITOR: 13.3” Full HD 1920x1080 (16.7 M colors) with HDMI & USB Type-C inputs
WITH ONE CABLE: USB Type-C input transmits audio and video signals faster
EASY-TO-CARRY: light-weighted 720g, ultra-slim 7mm, the best workmate on the go
PLUG & PLAY / SMART COVER STAND with unique cover lock
VARIOUS APPLICATION: Switch, PS4, Xbox, laptop, camera, Raspberry Pi, mini PC"
"[[[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [252 252 252]
  [252 252 252]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [246 246 246]
  ...
  [209 209 209]
  [242 242 242]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4,"$510
71","24"" Widescreen IPS display
Thin Client with built-in CPU, RAM, SSD
Fhd resolution (1920 x 1080)
compatible with Stratodesk and iGel
Built-in webcam, speakers
Connectivity technology: dvi"
"[[[253 253 254]
  [242 242 243]
  [241 241 242]
  ...
  [247 247 248]
  [244 244 246]
  [253 253 253]]

 [[138 138 140]
  [ 70  70  72]
  [ 74  74  76]
  ...
  [ 71  71  73]
  [ 68  68  69]
  [145 145 145]]

 [[ 62  62  64]
  [ 31  31  33]
  [ 52  52  54]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 68  68  68]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.5,"$148
90","Product type :CONSUMER ELECTRONICS
Package dimensions :16.764 cm L x55.118 cm W x59.740 cm H
country of origin :China
package weight :13.1lbs"
"[[[182 184 179]
  [120 121 118]
  [133 132 133]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 85  87  85]
  [  6   7   5]
  [  7   7   7]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 85  86  86]
  [  2   1   0]
  [  0   0   0]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$386
98","Is long-lasting with reduced screen burning to ensure maximum efficiency
27"" viewable screen size provides a spectacular viewing experience
4 ms Extreme Mode response time diminishes ghosting, blurring, and streaking in fast-moving games and movies
Furnishes captivating visuals with 350 Nit brightness levels
Experience a new level of viewing pleasure with Wide Quad High Definition (WQHD) that features 4 times the resolution of standard HD
WLED backlight technology for enhanced visual clarity
2560 x 1440 maximum resolution for a vivid, crystal clear display with added productivity"
"[[[253 253 250]
  [255 255 252]
  [255 255 253]
  ...
  [239 238 238]
  [243 243 243]
  [255 255 255]]

 [[255 255 255]
  [255 255 252]
  [251 251 247]
  ...
  [ 44  42  44]
  [ 72  72  73]
  [229 229 229]]

 [[247 247 247]
  [112 113 111]
  [ 68  68  64]
  ...
  [  5   9   9]
  [ 14  15  15]
  [205 205 205]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,,Mounting Type:Wall Mountable 100 x 100 mm
"[[[255 255 255]
  [216 216 216]
  [200 200 200]
  ...
  [118 118 118]
  [165 165 165]
  [251 251 251]]

 [[177 177 177]
  [ 33  33  33]
  [ 31  31  31]
  ...
  [ 85  85  85]
  [ 56  56  56]
  [187 187 187]]

 [[ 66  66  66]
  [  5   5   5]
  [ 41  41  41]
  ...
  [ 75  75  75]
  [ 54  54  54]
  [148 148 148]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.3,"$162
57","Seamless Gaming - AMD FreeSync™ technology delivers tear and stutter-free gaming for improved performance
Lag-Free Performance - A 144Hz high refresh rate and 1ms extreme response time deliver lag-free, swift, and smooth game play
Crisp Visuals - 1920 x 1080 full HD (1080P) resolution widescreen display offers a superior viewing experience with optimum clarity
Maximum User Comfort - This 23. 6-inch size TN panel is VESA mount compatible and offers low blue light certification for reduced eye strain
Easy Connectivity - 1 x HDMI 1. 4, 1 x DP 1. 2, 1 x Audio Out (3. 5mm)"
"[[[239 240 228]
  [221 232 219]
  [221 240 219]
  ...
  [255 255 254]
  [246 248 245]
  [244 248 245]]

 [[174 171 164]
  [ 82  90  81]
  [ 89 105  89]
  ...
  [ 25  25  23]
  [ 29  30  27]
  [166 168 165]]

 [[181 172 177]
  [183 188 186]
  [226 239 228]
  ...
  [  1   0   0]
  [  0   0   0]
  [130 126 125]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$663
33","21:9 Curved WQHD (3440 x 1440) IPS Display
Multi-tasking: PBP, Dual Controller, OnScreen Control
sRGB 99% Color Gamut
Height / Tilt Adjustable Stand
TAA Compliant & EPEAT Bronze"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$2,437
88","Included stand with integrated expansion hub - connect all of the POS peripheral support you need, from cash drawers and printers to barcode scanners and payment devices
Windows 10 - utilizes the reliability-tested performance and security of Intel 8th Generation processors, integrated Trusted Platform Modules, Intel vPro and the Windows 10 operating system
Commercial-grade - splash-proof housing and rugged retail-hardened design can easily withstand the adverse conditions associated with most commercial environments
USB-C Connectivity - easily connect a 1302L customer-facing display - providing touch, data and power with just one cable (second display sold separately)
Built-in Elo Edge Connect - seamlessly attach any combination of up to four peripherals (sold separately) to the edge of the touchscreen including fingerprint scanner, EMV, barcode scanner, or MSR"
"[[[255 255 255]
  [253 253 253]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [252 252 252]
  [201 201 201]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[251 251 251]
  [236 236 236]
  [ 50  50  50]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.1,"$49
00",Arm Height Adjustment
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [206 207 207]
  [226 228 227]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 40  41  43]
  [ 48  50  49]
  [188 190 189]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 69  70  73]
  [ 57  58  58]
  [150 152 151]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.4,"$564
98","Product Type :Monitor
Package Dimensions :24.25"" L X17.75"" W X9.75"" H
Package Quantity :1
Package Weight :7.36 Kg"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [249 249 249]
  ...
  [243 243 243]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [249 249 249]
  [229 229 229]
  ...
  [204 204 204]
  [248 248 248]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [245 245 245]
  ...
  [193 193 193]
  [244 244 244]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [246 246 246]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.3,"$273
26",Refresh rate :76 hertz
