imges,rating,price,description
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,,"As seen on Shark Tank
Two-in-one teether and baby spoon created by a child inventor. Unique animal shape helps prevent choking or gagging.
Patented design eliminates sharp angles and ends
Easy to grip and super gentle on gums. 4+ months.
Made of 100% FDA grade silicone"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$13
39","Hands-On Math Skills: Preschoolers learn counting, sorting, matching, and more every time they play with these fun MathLink Cubes!
Solve Math Challenges: With 15 double-sided activity cards, kids can explore challenges and puzzles that grow with their skills!
Build Your Own Creations: When they’re not mastering new math skills, kid can construct cool creations with 100 MathLink Cubes in 10 bright colors!
Ages and Stages: Specially designed with preschoolers in mind, this set helps kids as young as 3 build critical thinking, number skills, and more!
GIVE THE GIFT OF LEARNING: Whether you’re shopping for holidays, birthdays, or just because, toys from Learning Resources help you discover new learning fun every time you give a gift! Ideal gift for Halloween, Christmas, Stocking Stuffers, Easter Baskets Stuffers or even for Homeschool."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 250]
  [255 255 252]
  [255 255 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 252]
  [255 254 253]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$19
79","Design: Helps babies explore textures and work on fine and gross motor skills, as baby grows the set becomes a learning tool for object recognition, sorting, stacking, and descriptive language
Includes: 8 colored, textured and shaped balls, 8 colored and numbered soft yet sturdy blocks and 4 soft play animals made with BPA free materials
Great for gifting: This set is packaged in easy-to-wrap packaging and is a suitable gift for any occasion including baby showers, birthdays, Christmas, Easter and more
Cleaning and care: Easy to wipe clean, not intended for use in bath
Infantino, smartly designed products for happy parenting: We design smartly, we have fun and we're overjoyed when an idea evolves full circle into a product loved and used daily by parents everywhere"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,,"CLASSIC STORYTIME: Help baby to learn & begin story time with a soft fabric book featuring Pooh, Tigger, Eeyore & Piglet. An adorable 5 inch on-the-go book lets baby play as you read a story together.
SOFT TEETHING TOY: Fun interactive materials keep baby engaged. This book features crinkly sound, squeaker, a c clip for attaching to stroller or car seat, a mirror and a textured teether .
BABYS FIRST TOY: A baby essential, this carseat and stroller toy is ideal for baby showers, 1st birthdays, and is popular for boys & girls ages 0 months to toddler. Machine washable and BPA Free.
CRINKLE BOOK: Soft books, or teether books, are classic retro toys that have amused babies for decades. This interactive infant book delights babies with textures, sounds, & bright colors to discover.
MODERN CLASSIC TOY: The Wonderful World of Disney's iconic characters are instantly recognizable bringing sweet memories from your own childhood as they help your child to learn, play, and grow."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.7,,"Contains 40 magnetic pieces
Each piece represents a blend beginning or ending word
Identify or segment the sounds in the word
Use with magnetic letters or on their own
Hands on and fun!"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,,"This familiar face engages baby in developmental play. The flexible body has easy-to-grasp openings that help little hands build dexterity
The rattle encourages rolling, shaking and tossing, while teethable surfaces and colorful beads offer more to touch and explore
Rubberized details for teething
Easy to grab
Ages 3m+; BPA-Free, PVC-Free, Phthalate-Free; Size (inches): 6.5l x 3.5w x 4.75h"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.5,,"BerryBumps Design: The RaZberry teething pacifier is made with 100% soft silicone and textured with patented BerryBumps to soothe sore, swollen gums. It’s great for chewing and can also be frozen for added soothing support!
BPA Free: Like all of our products, our RaZberry teething pacifiers are free of BPA, PVC, phthalates, and lead, and made with high-quality materials that conform to US Consumer Product Safety standards, as well as EU standards EN 1400.
Easy to Clean: Sterilize our RaZberry teething toys in boiling water for 5 minutes before first use, then rinse in between subsequent uses. Our teethers are durable and they make great baby shower gifts for a boy or girl!
Multi-Texture: The original hands-free teething pacifier for babies, our RaZberry teethers are easy for little hands to hold with perfectly sized, multi-textured handles. They are shaped like berries to help introduce real fruits, and designed for babies 3 months and up.
Comfort: We’ve designed our teethers with your baby’s comfort in mind. Both the mouthpiece and handle are ergonomic for relief from sore gums and easy holding for little hands! The BPA-free silicone is durable but soft to encourage teething."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.4,"$12
89","Snuggly soft soother for hugs as big as an elephant!
Squeeze the foot to activate gentle melodies and lights in 2 modes
Two modes: continuous play or short tunes
The elephant's belly lights up for glowing comfort
Tactile exploration with crinkles and tags"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,,"Includes 1 magnet wand (assorted solid, vibrant colors) measuring 7.63 inches long.
Durable wand features a completely encased large, strong magnet; recessed handle, and hole for lanyard (not included). Child safety tested for ages 3+.
Great for magnet play, experiments, scavenger hunts, sensory tables, and more."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.7,,
