imges,rating,price,description
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.7,,"Made in the USA or Imported
Rubber sole
MIZUNO ENERZY (FOAM): Offering versatility in its application, while still maintaining softness and resilience.  It will help enhance performance capabilities.
MIZUNO WAVE: The MIZUNO WAVE plate disperses energy from impact to a broader area providing a stable platform and a superior cushioning.
U4ic Midsole: Delivers optimal shock reduction, durability, and a superior ride.  Innovatively light, well cushioned, responsive, and resilient.
X10 Outsole: Durable carbon rubber that allows for longer wear.
Engineered Mesh Upper: Both breathable and durable for high performance."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,,"manmade sole
THE ULTIMATE SHOES – A FINtastic present for yourself or slipper lovers, unique dressers, gag gift for valentines, fishing enthusiasts, fathers day, birthday present for the fisherman or woman in your life. Coddies make for an amazing present or gift exchange idea that is sure to get some laughs!
LIGHTWEIGHT & COMFORTABLE - Coddies Fish Flip Flops are made from a strong, light-weight, elastic and shockproof material, meaning no matter what you’re doing, you can be assured soft, flexible, comfort with no foot pain.
SUPERIOR ANTI-SKID GRIP - Coddies have high-density anti-skid soles which make them more wear-resisting and stops you from slipping around like a wet fish no matter how wild the office party gets. They are also made from just one piece which means there's no glue, they are tough, non-toxic and easy to wash.
SUITABLE FOR ALL LOCATIONS – Slip on your Coddies indoors and outdoors whether that be lounging around the house, fishing, swimming, gym, showering, in town, down the beach, parties and many other destinations.
THE ORIGINAL PATENTED CODDIES FISH FLIP FLOP - Coddies is proudly based in the USA, our Fish Flip Flops are patented and of highest quality and value. Your purchase is backed by our 100% money back guarantee. If you are unhappy for any reason we will immediately issue a full refund."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.4,,"100% Leather
Imported
Manmade sole
Heel measures approximately 1""
Lace-up shoe in waterproof leather with waxed flat laces and plush collar
adidas adiPRENE shock-absorbing heel cushioning
Hydro-shield construction with waterproof leather, seam sealing, waterproof insole board, and non-wicking laces"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,,"100% Textile and Synthetic
Imported
Rubber sole
Shaft measures approximately low-top from arch
Proprietary stitchlite knit upper with crafted woven leather overlay details
Lateral and medial leather overlay pieces that are integrated into the lacing system provides customized support
Eva midsole for comfort, cushioning and flexibility"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.5,,"100% Synthetic
Imported
Rubber sole
Shaft measures approximately mid-top from arch
Skechers GOrun Consistent is a well-cushioned lace up runner and trainer perfect for a variety of workouts in and out of the gym. The responsive ULTRA GO cushioning midsole and a smooth leather and mesh fabric upper offer an incredibly responsive workout shoe. Ideal for interval running, walking, treadmill and workouts.
UPPER: Smooth athletic leather upper with synthetic and mesh fabric detail. Comfortable lightweight and well ventilated upper design. Synthetic toe and heel overlays, mesh fabric panels. Lace up front with padded collar and tongue. Printed detail with S logo.
MIDSOLE CUSHION: ULTRA GO midsole material delivers comfort and response. Parametric midsole construction for support and stability."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,,"Imported
Rubber sole
100% leather
Rubber sole
Full grain leather upper"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,,"Imported
Ethylene Vinyl Acetate sole
SKECHERS GO WALK: keep up the pace in enhanced comfort and stability with the Skechers Go Walk 6 sneaker (tennis shoe); just slip-on and go
Medium (D) AND EXTRA WIDE FIT (4E) OPTIONS: these sneakers feature an adjustable slip-on front (top of shoe) for a comfortable fit; breathable stretch fit mesh upper for cooling effect (ventilation that helps feet breathe)
AIR COOLED GOGA MAT (TOPPED INSOLE CUSHION): when comparing to memory foam; the lightweight Goga Mat offers maximum support and cushioning; the cushion bounces back similar to a yoga mat; also helps wick moisture (sweat) away
ATHLETIC ACTIVITIES: walking, light jogging, treadmill, workouts, training, gym, lifting, multi sport exercise; these can be worn year round (winter, summer, fall, spring); machine washable - easy to clean
MULTI PURPOSE (FUNCTION): add performance comfort to casual occasions; wear indoor, around the house, to and from work, business, for travel, or even while driving; the possibilities for use continue"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.5,,"100% Leather
Imported
Rubber sole
Premium"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.4,,"leather-and-synthetic
Imported
Georgia waterproof system
AMP (Advanced Memory Polyurethane) insole
SPR full-grain leather"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,,"Rubber sole
Men's mid-cut basketball sneakers with an ankle strap
NUBUCK LEATHER UPPER: Leather upper for comfort and soft feel
HIGH TRACTION: A semi-translucent rubber outsole delivers great grip
MADE WITH RECYCLED CONTENT: Made in part with recycled content generated from production & post-consumer household waste to avoid the larger environmental impact. 25% of the components used to make the upper are made with a minimum of 50% recycled content"
